référence,prix
80712472,2.61
96722890,9.64
36816364,22.84
88728021,30.98
76295748,33.78
33529174,6.62
24281643,39.16
75952024,30.92
68975815,31.13
86319868,31.03
65089191,21.56
16385628,0.11
36958969,40.39
11456988,36.79
41415568,22.78
13049915,22.27
62277049,23.84
67501457,3.24
46009673,10.02
68684050,45.0
40702027,35.99
62427838,26.91
89438575,26.32
87242286,16.54
8739114,10.23
64736364,1.54
47914105,43.98
53195567,5.53
18790478,12.09
31387359,26.23
15888469,7.02
47850020,32.3
13280762,14.18
77940891,3.36
45044775,25.24
2471520,10.17
17496884,37.35
95997708,184.8
78315888,3.57
64182932,7.25
97151208,8.08
2695091,16.88
82503061,15.91
27350337,8.5
3018445,15.75
73870014,35.58
79630406,3.71
60758575,4.84
41307351,9.59
97824718,35.16
53425782,190.68
17793411,35.85
46605475,10.68
45237477,6.5
14971381,41.76
73968951,0.83
72555041,2.54
58910051,25.72
52151937,39.7
71572388,37.82
78822959,20.99
31446403,2.75
94812117,35.53
88999677,10.22
48663580,1.66
36194207,3.49
35486404,23.58
36130671,42.39
1713510,14.2
86499624,27.82
28631977,39.0
20092563,31.51
20070279,29.7
9871226,50.99
28986055,8.19
45969557,46.64
96529484,25.68
10673217,38.13
50282509,39.32
47889153,36.55
84770476,5.32
24041586,23.41
55458115,30.09
35971573,8.41
37955779,27.38
46309860,47.68
28093641,29.33
77486406,37.75
57355125,17.79
54108954,9.28
42210707,2.03
53486570,47.24
96162769,46.49
61330321,6.27
43080465,38.02
14754397,9.86
24979361,38.33
45519244,16.9
43671255,41.95
43080406,27.66
74013608,6.37
22299531,49.58
60660882,198.04
26766370,9.41
46592880,29.12
58392601,28.21
99724579,1.35
54516874,30.3
45890125,20.79
54020463,6.58
11980259,44.43
46393561,29.57
85927455,21.89
39555580,9.09
29403981,17.05
48270937,2.24
68395247,34.55
81045553,10.42
21229073,42.38
39958156,16.31
11262462,33.75
5940455,29.14
22844444,14.77
26946256,50.75
53584499,21.15
5614586,40.12
79236078,46.15
85910769,4.71
49563086,45.33
69706438,31.38
57515106,33.4
95926052,45.27
86141615,2.16
94175189,8.0
10393394,32.7
20490985,43.42
76232981,30.86
91210511,9.54
27232576,11.09
3552205,16.74
13324156,50.86
73613688,17.76
76772004,39.24
59010180,43.21
16373831,11.32
31997525,16.53
71817533,40.54
69334260,36.66
83372039,4.19
98115226,43.32
59404818,2.47
65498897,21.41
81095366,9.0
9347466,35.66
78431447,2.65
9359160,7.66
54372432,0.01
50741418,4.46
55844162,35.09
4142846,10.25
36707965,0.89
44286653,41.98
44282068,8.96
23787575,12.89
2059978,25.81
66055022,26.68
34652478,2.25
71982139,16.74
36254430,186.92
56587424,14.58
6002703,14.82
74050222,46.49
90912548,32.94
93392117,7.68
78988153,28.54
51517472,42.39
62369280,152.96
13445175,34.47
44866384,3.23
99339054,42.98
95235944,6.26
32928649,34.19
44259010,22.64
84355641,10.58
47834178,13.57
1797469,34.31
55926548,17.38
59568326,22.76
87728072,49.78
81470571,0.54
56618229,2.7
89842979,10.15
76433954,31.13
36417225,38.98
64894093,20.2
12909609,31.07
40553913,46.05
2191073,42.98
64789481,22.28
99155383,40.92
72246591,4.56
24477723,37.11
58506451,30.13
4622899,12.89
20351918,18.06
75253793,25.0
37893187,35.5
59331889,7.94
80555717,45.09
31878642,18.43
32770206,24.03
52754065,4.19
78152876,16.5
54080699,23.95
47408274,180.48
43915669,6.73
96921324,54.28
98136792,176.4
84471935,12.71
61239604,26.35
63821372,35.27
20786499,3.4
39089665,43.36
53559387,4.07
44483858,44.51
88730858,2.33
4558101,43.06
1302465,50.89
10835590,26.78
83264340,16.56
761156,16.13
5616205,5.41
64929232,32.87
54077699,37.96
17989637,26.92
44284223,41.68
99161235,6.42
26084281,9.28
42958174,14.98
9349649,28.19
69221110,4.21
46765695,6.19
72821273,6.34
51144312,30.91
72214848,38.48
88740472,10.69
70445298,8.23
36729577,8.1
81885046,7.66
11829331,30.27
32341333,50.79
57656234,28.28
55163826,108.04
49505037,40.07
14628635,5.96
79639612,25.29
84032085,5.35
83155032,134.72
68984538,5.24
14298840,110.64
65871131,43.21
9838400,43.34
89323192,4.94
25769630,13.45
15219292,33.68
96249044,30.89
31016321,7.02
45850131,18.56
98289931,13.07
47434429,11.81
44938005,10.48
34302522,32.0
72602663,13.83
42265782,83.36
95883467,3.28
19409655,33.59
13598398,10.98
67650557,41.69
22072470,3.72
9498799,44.97
74385381,12.06
78245817,36.76
17346599,38.43
2455421,26.5
84556732,45.52
81016594,1.61
68170542,28.95
31623606,49.71
87653406,39.39
41740694,12.95
11905135,13.33
23549511,10.4
4689950,33.13
97968822,7.64
29574711,17.84
32067708,19.03
4223650,16.89
46644140,18.18
41725288,49.32
19362934,43.41
27629648,31.02
91870708,7.6
60838209,24.1
59601111,49.19
62887745,45.36
17065544,7.97
49237093,41.94
14745490,32.57
44917531,18.84
74313390,39.28
50574913,29.08
76387769,42.87
32691458,13.74
278808,40.01
28849431,28.97
7612020,81.0
193253,45.26
64402445,10.53
34694812,16.4
86456530,12.56
40837316,34.41
51984306,13.08
50337183,39.26
60363879,11.88
22416426,142.64
36916360,13.39
80886091,44.28
65812400,47.23
72627137,44.89
99659685,37.74
63962316,9.2
47970716,16.39
64847624,8.9
77954143,20.23
13281177,3.87
52661768,42.39
65602142,25.13
1798424,16.29
66625313,36.51
75147522,44.78
37389795,16.43
75686165,13.82
54262917,37.04
54751952,2.1
52191120,36.39
76440612,40.59
60068792,8.15
16599794,33.24
90508341,13.55
45118321,29.96
2428582,24.98
92156671,40.14
32360425,19.46
41551953,32.87
77964389,10.6
41663219,38.93
34894145,36.65
53358913,41.34
68106529,15.13
65427971,0.89
49344016,12.48
10625460,15.21
4346676,118.68
71002857,13.36
55519625,2.11
33154920,45.4
69222670,40.01
36813024,149.52
75603300,16.83
5535599,35.86
63257496,15.22
78642271,1.88
17544388,45.69
14730405,32.07
24130512,57.59
22564010,11.69
75937411,34.74
61079709,8.74
57485793,19.87
23623818,31.49
84652104,16.39
37443314,4.61
16086898,31.38
52915015,6.3
13241320,14.72
52905536,9.5
43969261,16.01
76232556,151.4
80795338,12.5
59654895,46.46
30278944,24.08
2260782,136.08
87842695,49.18
70601662,23.14
68492841,15.91
99356147,21.56
41742418,9.77
2711646,56.68
44652403,5.09
78049334,12.73
62346067,13.39
10320840,193.2
74601234,48.4
63328815,32.54
80002908,72.72
54423992,9.44
86206267,2.79
10237642,4.43
28139672,32.39
70200005,31.17
43188910,38.05
93717270,135.44
23560340,9.16
23323562,31.86
33614295,17.9
64766980,28.69
87981926,15.2
63219058,5.49
28637792,50.11
12910232,19.08
77235066,43.32
80694996,44.47
33082836,32.66
14184415,8.01
13746630,11.96
72634952,23.3
12091,26.17
85680028,4.17
81551238,47.79
28761188,26.41
4287581,42.28
94688452,42.39
54654648,37.14
13210790,3.86
75114528,42.46
10935280,25.9
3450434,24.89
37277771,0.98
26038085,33.2
36143932,25.94
53174990,0.07
29525764,44.55
10735707,5.37
94223734,29.61
6920944,37.15
62442791,34.22
40175836,23.44
62562352,17.04
22956155,25.09
77249295,41.51
71892536,10.06
4817690,3.71
37182209,1.28
84864089,40.74
99112677,31.64
15526294,0.71
46118998,37.71
93853746,21.47
47873733,21.38
8912726,47.55
43208145,16.14
23798072,11.43
22106798,16.88
76299406,28.29
97223910,8.79
3392934,6.35
75446005,30.87
60794231,22.91
67063181,35.33
24088413,30.16
57863914,2.35
43377536,44.81
9811309,19.7
79767488,14.27
37568646,0.92
62777293,47.2
27336087,0.26
7281237,33.74
65406909,10.09
89245061,21.21
61715173,9.04
94619427,4.99
97123575,0.57
95586064,6.72
938071,16.77
98384634,191.8
73524671,11.39
32655231,6.73
41502,0.62
36605327,13.1
46553661,1.9
55780436,23.97
13594476,11.5
95617118,5.83
73463132,41.71
937723,12.99
67580903,9.62
90829694,48.55
99637999,37.76
68463956,41.75
20507976,194.32
22359108,26.86
3890712,9.47
52252465,17.92
91704976,44.13
49610688,28.68
92066481,5.02
83166142,26.04
58162447,13.39
54597349,8.37
81930305,33.64
64797047,8.48
95139469,24.63
63298314,27.12
21551050,44.81
3356049,14.26
43590499,48.17
46402868,29.64
32864579,13.03
56995898,47.36
55686091,6.94
67656373,9.33
87022075,15.64
59447624,10.72
49937656,2.05
58616316,77.96
43738019,11.41
87101379,23.61
37313402,16.85
93978638,16.3
6678646,13.39
161232,14.75
24831109,24.96
30322553,12.47
54019064,16.3
55425025,46.49
19144119,27.27
4384794,46.71
71241734,8.65
18809569,49.12
31672926,114.52
79464226,35.14
73163168,4.5
47613890,20.79
96518542,27.62
23861516,3.1
35254286,46.14
8820216,198.56
60670450,34.14
97438910,38.4
92544939,43.82
17801150,40.03
50432289,46.91
37123440,38.59
44472460,38.48
7498731,47.39
23229241,4.47
28147788,152.52
84101641,48.0
84000035,13.64
20646579,35.87
42784477,44.92
19035966,21.23
21912479,46.42
63221840,38.3
77749236,44.2
15640286,34.61
82605893,13.08
80602301,22.42
25885139,9.41
13304228,6.01
6992608,14.87
91765570,0.71
75913098,46.29
73639062,37.99
23942265,23.92
54496086,29.27
86005588,42.24
66767650,49.63
82279973,36.98
7959380,14.38
52438754,38.5
83470414,33.85
56155068,177.68
33193245,13.58
42880462,7.91
70333153,10.34
2139065,10.03
8082441,2.74
88415979,14.31
61942480,31.6
19448266,48.54
65164696,15.57
66775395,38.06
94163308,39.81
80262306,172.0
69888351,13.92
28537513,11.63
30284930,1.45
98031993,19.67
35468717,34.9
99270497,38.31
78334899,16.69
